timestamp,soil_temp,soil_humidity,soil_ec,soil_ph,soil_n,soil_p,soil_k,soil2_temp,soil2_humidity,soil2_ec,soil2_ph,soil2_n,soil2_p,soil2_k,soil3_temp,soil3_humidity,soil3_ec,soil3_ph,soil3_n,soil3_p,soil3_k,air_temp,air_wind,dewpoint,precip_prob,daily_temp_max,daily_temp_min,daily_rain_sum,sunshine_duration
2025-06-12 11:28:07,23.5,25.6,84.0,5.7,0.0,0.0,0.0,23.9,24.7,122.0,6.8,0.0,16.0,8.0,24.3,22.4,126.0,6.2,0.0,18.0,10.0,25.0,14.3,20.4,0,25.4,21.6,0.0,50071.61
2025-06-12 15:03:03,29.5,26.5,90.0,6.4,0.0,0.0,0.0,26.8,25.9,148.0,6.3,0.0,28.0,20.0,27.7,24.0,150.0,5.6,0.0,29.0,21.0,25.6,16.8,20.4,0,25.6,21.6,0.0,50071.61
2025-06-12 21:03:03,24.6,24.0,43.0,5.9,0.0,0.0,0.0,25.3,23.5,118.0,6.1,0.0,14.0,6.0,25.0,22.7,135.0,5.6,0.0,22.0,14.0,24.0,13.8,20.4,0,25.6,21.6,0.0,50071.61
2025-06-13 03:03:03,22.3,23.1,20.0,5.6,0.0,0.0,0.0,22.7,22.8,98.0,5.9,0.0,4.0,0.0,22.9,22.1,123.0,5.5,0.0,16.0,8.0,22.9,10.9,20.6,0,25.8,22.4,0.0,43623.84
2025-06-13 09:03:03,22.8,22.8,13.0,5.4,0.0,0.0,0.0,23.3,22.6,92.0,5.9,0.0,1.0,0.0,23.5,21.9,120.0,5.5,0.0,15.0,7.0,23.4,16.5,20.6,0,25.4,22.3,0.0,47816.54
2025-06-13 15:03:03,27.1,23.2,25.0,5.4,0.0,0.0,0.0,27.6,23.0,99.0,6.1,0.0,4.0,0.0,27.9,22.3,129.0,5.8,0.0,19.0,11.0,25.2,15.0,20.6,0,25.5,22.3,0.0,50097.1
2025-06-13 21:03:03,25.3,22.0,5.0,5.3,0.0,0.0,0.0,27.2,21.9,88.0,6.3,0.0,0.0,0.0,26.7,21.5,120.0,6.0,0.0,15.0,7.0,24.1,10.1,20.6,0,25.4,22.3,0.0,50097.1
2025-06-14 03:03:03,22.8,21.6,0.0,5.3,0.0,0.0,0.0,23.4,21.2,66.0,6.1,0.0,0.0,0.0,23.9,21.0,106.0,5.9,0.0,8.0,0.0,22.5,3.1,19.5,3,26.1,21.6,0.0,49938.42
2025-06-14 09:03:03,23.4,21.5,0.0,5.3,0.0,0.0,0.0,24.0,21.1,60.0,6.2,0.0,0.0,0.0,24.3,20.9,102.0,5.9,0.0,6.0,0.0,23.6,10.9,19.5,3,26.1,22.1,0.0,47500.12
2025-06-14 15:03:03,29.5,58.7,173.0,7.1,0.0,40.0,32.0,28.1,54.5,210.0,6.3,5.0,58.0,50.0,30.0,44.1,317.0,6.6,27.0,110.0,102.0,26.2,14.4,19.5,3,26.2,22.1,0.0,47141.26
